id_hotel	nome	id_punto	ora_teide_mezza_giornata
507	CALEDONIA PARK	65	09:05
510	HARD ROCK HOTEL	68	08:20
512	APARTAMENTOS EL ANCLA	1	08:15
521	FLORIDA PARK	23	09:05
525	Edificio Artista	0	
526	Villa Mojon Callao Salvaje	1	08:15
539	RESIDENCIAL EL CAMISON	31	09:20
541	SANTA AMALIA	40	09:25
542	GRAN MUTHU GOLF PLAZA	42	08:50
543	GREEN PARK GOLF	42	08:50
544	VILLAS Y BAHIA FAÑABE	20	09:00
545	VILLA MARIA	6	08:40
546	GF VICTORIA	17	08:55
547	CORALES SUITES CALETA	10007	
548	ROYAL HIDEAWAY CORAL SUITES	10010	08:40
549	APARTAMENTO JACARANDA las americas	27	09:10
550	COSTA ADEJE GARDEN	14	08:50
551	FANTASIA BAHIA PRINCIPE GOLF DEL SUR	10009	08:50
552	AGUAVIVA	1	08:15
553	GARA SUITES	25	09:05
554	Grand Muthu Golf Plaza	42	08:50
555	H10 ATLANTIC SUNSET	10064	08:20
556	CORAL DREAMS	24	09:05
557	Landmar Costa Los Gigantes	10017	08:30
558	ABAMA The Ritz-Carlton	10018	08:55
559	BARCELÓ SANTIAGO	10012	08:35
560	TAMAIMO TROPICAL	10030	08:35
561	VIGILIA PARK	10029	08:24
562	THE HARBOUR CLUB	10019	
565	BAHIA FLAMINGO	10142	
567	ROYAL GARDEN VILLAS	10024	08:40
568	EL SOMBRERO APT LOS GIGANTES	10025	08:30
569	KLAYMAN DIAMOND APARTHOTEL	10029	08:24
570	ROYAL RIVER LUXURY	10028	08:40
571	BUENAVISTA GIGANTES	10029	08:24
572	APARTAMENTOS COLONIAL I	10029	08:24
573	MARQUES PALACE	10029	08:24
574	APARTAMENTOS POBLADO MARINERO	10029	08:24
575	ROYAL SUN RESORT	10029	08:24
576	APARTAMENTOS TAMAY I-VII	10029	08:24
577	TERRAZA LOS GIGANTES	10029	08:24
578	APARTAMENTO ACANTILADOS GIGANTES	10030	08:35
579	BALCONES LOS GIGANTES	10029	08:24
580	APARTAMENTOS LA ESTRELLA	10029	08:24
581	LOS GIGANTES VIEW	10012	08:35
582	ARENA SUITES	10032	
584	CLUB LA MAR	10032	
585	DRAGOS DEL SUR	10020	08:40
586	APARTAMENTOS JARDIN (LOS GIGANTES)	10032	
587	APARTAMENTO LAGO SANTIAGO	10032	
588	LAGOS DE CESAR	10020	08:40
589	PLAYA LA ARENA RESIDENCIAL	10032	
590	APARTAMENTOS PUERTO SANTIAGO	10032	
591	APARTAMENTOS ARENA	10020	08:40
592	SOL ARENA	10020	08:40
593	ARENAS NEGRAS	10020	08:40
594	CASA LAS CUPULAS	10020	08:40
595	APARTAMENTOS PLAYA LA ARENA	10020	08:40
596	HOTEL PLAYA LA ARENA LANDMAR	10020	08:40
597	ROYAL SUNSET (GIGANTES)	10029	08:24
598	APARTAMENTOS TAGARA BEACH	10020	08:40
599	SERVATUR ISORA (EX ALLEGRO)	10142	
600	PRINCESA ISORA	10011	08:45
601	CASA CALMA	10014	08:50
602	CONDE TIO MEDINA	10014	08:50
603	EL NAVIO	10014	08:50
604	APTOS MIRAMAR	10014	08:50
605	GRAN MELIA PALACIO DE ISORA	10014	08:50
606	ROCK PLAZA	10014	08:50
607	MARAZUL APTOS	10033	09:00
608	RELAX HOME TENERIFE	10033	09:00
609	TAUCHO COTTAGE	10033	09:00
610	TWINFIN SURF CAMP	10033	09:00
611	MARINA PALACE	4	08:20
612	TENERIFE BY THE OCEAN APTOS	4	08:20
613	CLUB PARAISO APTOS	4	08:20
614	PARAISO DEL SUR APTOS	2	08:20
615	CASA EL HIERRO	6	08:40
616	MAGNOLIA GOLF RESORT APTOS	6	08:40
617	OASIS LA CALETA	6	08:40
618	SUNRISES LA CALETA	6	08:40
619	VILLA CALETA GOLF	6	08:40
620	VILLA LA CALETA	6	08:40
621	VILLA NATALIE	6	08:40
622	TOWNHOUSE LA CALETA	7	
623	VERIL DEL DUQUE II APTOS	7	
624	VERIL DEL DUQUE I APTOS	9	08:40
625	CASA BONITA APTOS	10	08:40
626	JARDINES DEL DUQUE	19	08:55
627	OASIS DEL DUQUE	19	08:55
628	TOWNHOUSE EL DUQUE	19	08:55
629	VACATION HOME LA DUQUESA	19	08:55
630	VILLAS DEL DUQUE	19	08:55
631	LOS BREZOS	20	09:00
632	PLAYA FAÑABE	20	09:00
633	APARTAMENTOS FAÑABE	22	09:00
634	APARTAMENTOS COSTA ADEJE OASIS	16	08:50
635	RESIDENCIAL OASIS FAÑABE III	16	08:50
636	APARTAMENTOS SAN EUGENIO ALTO	16	08:50
637	SAPHIRE CLUB	16	08:50
638	APARTAMENTOS TENERIFE BEST	16	08:50
639	VILLAS MADRO	16	08:50
640	VILLAS YUCCA	16	08:50
641	APARTAMENTOS ALOHA GARDEN	13	
642	APARTAMENTOS ALBATROS CALLAO SALVAJE	1	08:15
643	ARCO IRIS PLAYA	1	08:15
644	ATLANTIC PALACE	1	08:15
645	LA TOSCANA	1	08:15
646	LAS BARANDAS	1	08:15
647	MIRADOR DE LA GOMERA	1	08:15
648	VILLAS NIVARIA	1	08:15
649	ATALAYA COURT	13	
650	APARTAMENTOS BUENAVISTA	48	
651	APARTAMENTOS DREAM VIEW	48	
652	MONTESOL	48	
653	APARTAMENTOS SIAM	48	
654	VILLAS SAN EUGENIO	48	
655	APARTAMENTOS LOS PUEBLOS	23	09:05
656	PALMERAS DEL SUR	23	09:05
657	APARTAMENTOS COSMOPOLITAN TENERIFE	23	09:05
658	APARTAMENTOS CASA TROPICAL	24	09:05
659	APARTAMENTOS PLAYA VERONICAS	24	09:05
660	APARTAMENTOS LAS VISTAS	29	09:15
661	SUMERLAND	36	09:25
662	ANDALUCIA	40	09:25
663	APARTAMENTOS LOS CRISTIANOS	40	09:25
664	DRAGO	10034	
665	APARTAMENTOS HERCULES	10034	
666	HOSTAL DUENDES DEL SUR	52	
667	ALONDRAS PARK CLUB ( COSTA DEL SILENCIO)	54	
668	ATLANTIC VIEW	54	
669	APARTAMENTOS ATLANTICO	54	
670	APARTAMENTOS GERANIOS ( COSTA DEL SILENCIO)	54	
671	ROCAS DEL MAR	54	
672	APARTAMENTOS GOLF DEL SUR	10009	08:50
673	ALAMO PARK	10035	08:50
674	LA BALLENA	10036	08:50
675	HOTEL MEDANO	10037	08:40
676	HOSTAL CAREL	10037	08:40
677	PLAYA SUR MEDANO	10037	08:40
678	PUNTA DEL REY ( LAS CALETILLAS)	10038	
680	CRUCEROS MUELLE	10039	
682	PRINCIPE PAZ HTL	10039	
683	SILKEN ATLANTIDA HTL	10039	
684	PANORAMICA	10040	
685	ROUTE ACTIVE	10040	
686	Precise Resort Puerto (Anterior Maritim)	10041	
687	BAHIA PLAYA	10042	
688	BE LIVE ADULTS ONLY	10042	
689	DIAMANTE SUITES	10042	
690	NOELIA PLAYA	10042	
691	TENERIFE VING	10042	
692	ALUA TENERIFE (TURQUESA PLAYA)	10042	
693	FLORIDA PLAZA BE SMART	10093	
694	GIRASOL	10043	
695	MAGA	10043	
696	MAGEC	10043	
697	MARTE	10043	
698	PARK PLAZA	10043	
699	PUERTO AZUL	10043	
700	SUN HOLIDAYS	10043	
701	TROVADOR	10043	
702	ALTA APTOS	10044	
703	ASTORIA HOTEL	10044	
704	AVENIDA HOTEL	10044	
705	BAMBI HOTEL	10044	
706	CONCORDIA HOTEL	10044	
707	GUAJARA APTOS	10044	
708	LAS VEGAS HOTEL	10044	
709	Hotel AF Valle Orotava - Puerto de la Cruz	10043	
710	PALMERAS PLAYA HOTEL	10044	
711	SAN FELIPE HOTEL	10094	
712	SAN TELMO HOTEL	10044	
713	SOL ATLANTIS HOTEL	10044	
714	TENERIFE PLAYA HOTEL	10044	
715	VALLEMAR HOTEL	10094	
716	BELAIR	10045	
717	CHIMISAY	10045	
718	CONDESA	10045	
719	LA VAGGI	10045	
720	MARQUESA	10045	
721	MONOPOL	10045	
722	XIBANA	10045	
723	CARABELA	10046	
725	CHINYERO	10046	
726	EL TOPE	10046	
727	PEZ AZUL	10046	
728	PUERTO DE LA CRUZ	10046	
729	BLUESEA Puerto Resort	10080	
730	CANARIFE (BLUE SEA)	10047	
731	IKARUS	10047	
732	INTERPALACE (BLUE SEA)	10080	
733	MASARU	10047	
734	MELIA LA PAZ	10047	
735	MOLINO BLANCO	10047	
736	SEMIRAMIS	10080	
737	TARAJAL	10047	
738	TEIDE MAR	10080	
739	WEARE LA PAZ	10047	
740	BOTANICO	10048	
741	CLUB LA PAZ	10048	
742	GAROE	10049	
743	AMBASSADOR (CLUB)	10050	
744	BLUE SEA COSTA	10050	
745	CASA DEL SOL HOTEL	10051	
746	DON CANDIDO HOTEL	10051	
747	ESPLANADE HOTEL	10051	
748	HAPIMAG HOTEL	10051	
749	MIRAMAR ELEGANCE HOTEL	10051	
750	PUERTO PALACE HOTEL	10061	
751	TAORO GARDEN HOTEL	10051	
752	TIGAIGA HOTEL	10051	
753	Hotel Las Águilas Tenerife, Affiliated by Meliá	10052	
754	QUINTA PARK	10053	
755	ADONIS PLAZA	10039	
756	CONTEMPORANEO	10039	
757	CRUCEROS	10039	
758	MENCEY	10039	
